lauf#	pi_Wert
3870000	3.1418428940568477
3880000	3.1418752577319586
3890000	3.141815938303342
3900000	3.1417302564102565
3910000	3.141719693094629
3920000	3.141730612244898
3930000	3.1418239185750636
3940000	3.141787817258883
3950000	3.141794430379747
3960000	3.1418545454545455
3970000	3.141904282115869
3980000	3.1418402010050253
3990000	3.141919799498747
4000000	3.141948
4010000	3.1418573566084786
4020000	3.1418009950248758
4030000	3.141782630272953
4040000	3.1417227722772276
4050000	3.1417234567901233
4060000	3.1417004926108376
4070000	3.1417208845208844
4080000	3.141766666666667
4090000	3.1417662591687043
4100000	3.141760975609756
4110000	3.1418131386861314
4120000	3.1417495145631067
4130000	3.1416997578692496
4140000	3.1417236714975845
4150000	3.141713734939759
4160000	3.141743269230769
4170000	3.1417659472422064
4180000	3.1417444976076556
4190000	3.141728878281623
4200000	3.141737142857143
4210000	3.141741567695962
4220000	3.1417270142180094
4230000	3.14165768321513
4240000	3.1416584905660376
4250000	3.1416329411764705
4260000	3.1416347417840376
4270000	3.141583138173302
4280000	3.141573831775701
4290000	3.1416195804195803
4300000	3.141580465116279
4310000	3.1415350348027844
4320000	3.14154537037037
4330000	3.14150207852194
4340000	3.141469124423963
4350000	3.1415245977011494
4360000	3.1415477064220183
4370000	3.141491990846682
4380000	3.141415525114155
4390000	3.14146423690205
4400000	3.1415218181818183
4410000	3.1414902494331067
4420000	3.1415303167420814
4430000	3.1414988713318284
4440000	3.1415252252252253
4450000	3.1415352808988763
4460000	3.141536322869955
4470000	3.141529306487696
4480000	3.141575
4490000	3.1415973273942095
4500000	3.1416968888888888
4510000	3.1416833702882485
4520000	3.141674336283186
4530000	3.1417236203090506
4540000	3.141664317180617
4550000	3.14168
4560000	3.1416561403508774
4570000	3.1416297592997813
4580000	3.141570305676856
4590000	3.141581699346405
4600000	3.1415452173913043
4610000	3.1415088937093274
4620000	3.1414502164502163
4630000	3.141477321814255
4640000	3.1415103448275863
4650000	3.1415139784946238
4660000	3.1415167381974247
4670000	3.141452676659529
4680000	3.141430769230769
4690000	3.141472921108742
4700000	3.1414774468085107
4710000	3.141467515923567
4720000	3.141530508474576
4730000	3.141507822410148
4740000	3.141546835443038
4750000	3.1415604210526316
4760000	3.141576470588235
